622e8ac6-06a1-5740-bf67-05326ed4d4a9,Allora,Skye,232.2,20,13,7,77.3,143.4,19.4,2,1,Team Name Loading,1,0,1,1,2,0,1,0,5373f299-3860-4223-96a9-2500969f2928
65b3d6f1-470c-5975-b69d-166f7fc2d2bb,PAYGE,Sage,179.4,11,19,8,68.2,114.1,10.0,1,1,Easy As Pie,0,0,1,0,2,0,0,0,5373f299-3860-4223-96a9-2500969f2928
dc6aa7e2-491c-5ca7-ad34-5c8f655f8e6c,Kyrigan,Raze,300.5,23,19,4,77.3,202.6,19.6,5,2,Easy As Pie,1,0,3,2,1,0,0,0,5373f299-3860-4223-96a9-2500969f2928
981c14eb-f05d-5936-9a2f-b83bd879da04,W a f f l e,Viper,200.7,14,16,4,63.6,123.8,34.1,1,2,Easy As Pie,1,0,1,0,2,0,0,0,5373f299-3860-4223-96a9-2500969f2928
02a14456-4666-5b48-a1cd-15a0c2bb2e5d,TNL Divinity,Reyna,170.6,10,15,8,68.2,124.7,5.3,1,3,Team Name Loading,0,0,0,0,0,0,1,0,5373f299-3860-4223-96a9-2500969f2928
dfc25b04-713a-5264-a2c4-c67d6e3b51f5,CChrisssp,Harbor,180.7,15,15,8,72.7,118.3,24.5,2,3,Easy As Pie,0,0,0,0,1,0,0,0,5373f299-3860-4223-96a9-2500969f2928
2af8c465-fd90-504e-b0f8-25f56159eb9e,gkjfldjgdfljlkgj,Phoenix,336.8,38,25,10,76.5,219.9,43.0,5,3,Team Name Loading,0,0,2,1,0,0,0,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
7a2d099f-bd0d-50be-83ec-29f466fe6fb8,TNL Cano,Cypher,193.4,24,24,6,64.7,126.5,12.0,1,3,Team Name Loading,0,0,0,0,0,0,2,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
622e8ac6-06a1-5740-bf67-05326ed4d4a9,Allora,Skye,181.2,20,25,14,73.5,122.3,23.1,1,4,Team Name Loading,0,0,2,1,1,0,0,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
dc6aa7e2-491c-5ca7-ad34-5c8f655f8e6c,Kyrigan,Astra,244.8,26,26,12,82.4,167.2,23.5,5,2,Easy As Pie,0,0,2,0,0,0,0,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
981c14eb-f05d-5936-9a2f-b83bd879da04,W a f f l e,Viper,209.6,24,23,10,67.6,155.6,30.0,2,2,Easy As Pie,0,0,3,1,2,0,0,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
c59618a0-eb70-5b55-9ada-630aae8b99f3,Opticss,Skye,138.4,17,24,6,76.5,107.0,25.4,0,1,Easy As Pie,0,0,2,0,0,0,0,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
f0c62929-ab9e-5aa9-905b-03e09cc0dd8a,TNL Strober,Omen,178.3,21,26,6,55.9,118.7,21.3,2,9,Team Name Loading,0,0,1,0,1,0,1,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
02a14456-4666-5b48-a1cd-15a0c2bb2e5d,TNL Divinity,Viper,136.4,17,23,11,64.7,87.9,9.7,1,5,Team Name Loading,0,0,0,0,0,0,3,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
65b3d6f1-470c-5975-b69d-166f7fc2d2bb,PAYGE,Killjoy,209.9,23,20,11,73.5,156.1,14.4,3,2,Easy As Pie,0,0,3,1,1,0,0,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
dfc25b04-713a-5264-a2c4-c67d6e3b51f5,CChrisssp,Jett,281.6,33,27,3,64.7,171.2,25.6,14,3,Easy As Pie,0,0,0,0,1,0,0,0,81c56faa-ce6b-41b0-9f53-fef8f7427a1a
